Unnamed: 0,address,country,province,citycode,city,district,location,long,lat
0.0,上海市浦东新区张东路2281弄,中国,上海市,21.0,上海市,浦东新区,"121.637090,31.201005",121.63709,31.201005
1.0,上海市浦东新区临江村西新队罗汉松,中国,上海市,21.0,上海市,浦东新区,"121.481800,31.126070",121.4818,31.12607
2.0,上海市浦东新区临江村丁家队丁家宅,中国,上海市,21.0,上海市,浦东新区,"121.609684,31.181050",121.609684,31.18105
3.0,上海市浦东新区浦电路221号,中国,上海市,21.0,上海市,浦东新区,"121.523518,31.219127",121.523518,31.219127
4.0,上海市浦东新区龚路支路473弄,中国,上海市,21.0,上海市,浦东新区,"121.692128,31.263843",121.692128,31.263843
5.0,上海市浦东新区繁荣东路159弄,中国,上海市,21.0,上海市,浦东新区,"121.587327,31.106922",121.587327,31.106922
6.0,上海市浦东新区建新村,中国,上海市,21.0,上海市,浦东新区,"121.676280,31.294747",121.67628,31.294747
7.0,上海市浦东新区新川路709弄,中国,上海市,21.0,上海市,浦东新区,"121.692145,31.190444",121.692145,31.190444
8.0,上海市浦东新区瑞阳路81弄,中国,上海市,21.0,上海市,浦东新区,"121.586537,31.099186",121.586537,31.099186
9.0,上海市浦东新区下南路500弄,中国,上海市,21.0,上海市,浦东新区,"121.537641,31.171908",121.537641,31.171908
10.0,上海市浦东新区年家浜路461弄,中国,上海市,21.0,上海市,浦东新区,"121.571196,31.112342",121.571196,31.112342
11.0,上海市浦东新区利津路1313弄,中国,上海市,21.0,上海市,浦东新区,"121.591969,31.283779",121.591969,31.283779
12.0,上海市浦东新区千汇路198弄,中国,上海市,21.0,上海市,浦东新区,"121.766960,31.109251",121.76696,31.109251
13.0,上海市浦东新区张江诸家宅,中国,上海市,21.0,上海市,浦东新区,"121.612233,31.209309",121.612233,31.209309
14.0,上海市浦东新区民耀路227弄,中国,上海市,21.0,上海市,浦东新区,"121.654474,31.272453",121.654474,31.272453
15.0,上海市浦东新区上川路620号,中国,上海市,21.0,上海市,浦东新区,"121.647991,31.273625",121.647991,31.273625
16.0,上海市浦东新区瑞安路700弄,中国,上海市,21.0,上海市,浦东新区,"121.593833,31.090592",121.593833,31.090592
17.0,上海市浦东新区海阳路1001弄,中国,上海市,21.0,上海市,浦东新区,"121.505266,31.158524",121.505266,31.158524
18.0,上海市浦东新区新环西路27号,中国,上海市,21.0,上海市,浦东新区,"121.639682,31.015632",121.639682,31.015632
19.0,上海市浦东新区东书房路560弄,中国,上海市,21.0,上海市,浦东新区,"121.536070,31.160492",121.53607,31.160492
20.0,上海市浦东新区沪东新村,中国,上海市,21.0,上海市,浦东新区,"121.583244,31.270589",121.583244,31.270589
21.0,上海市浦东新区妙境北路323号,中国,上海市,21.0,上海市,浦东新区,"121.687067,31.204809",121.687067,31.204809
22.0,上海市浦东新区南塘村顾家宅,中国,上海市,21.0,上海市,浦东新区,"121.568585,31.342882",121.568585,31.342882
23.0,上海市浦东新区靖海南路567弄,中国,上海市,21.0,上海市,浦东新区,"121.768813,31.032159",121.768813,31.032159
24.0,上海市浦东新区潍坊七村,中国,上海市,21.0,上海市,浦东新区,"121.522020,31.223705",121.52202,31.223705
25.0,上海市浦东新区银冬路568号,中国,上海市,21.0,上海市,浦东新区,"121.635977,31.204931",121.635977,31.204931
26.0,上海市浦东新区江绣路633弄,中国,上海市,21.0,上海市,浦东新区,"121.739267,31.168556",121.739267,31.168556
27.0,上海市浦东新区国展路1776号工地生活区,中国,上海市,21.0,上海市,黄浦区,"121.490505,31.200470",121.490505,31.20047
28.0,上海市浦东新区沈家弄路801弄,中国,上海市,21.0,上海市,浦东新区,"121.550472,31.236543",121.550472,31.236543
29.0,上海市浦东新区鹏飞路411弄,中国,上海市,21.0,上海市,浦东新区,"121.555994,31.170662",121.555994,31.170662
30.0,上海市浦东新区航鹤路1858弄,中国,上海市,21.0,上海市,浦东新区,"121.585531,31.050358",121.585531,31.050358
31.0,上海市浦东新区中界村陈家队陈家宅,中国,上海市,21.0,上海市,浦东新区,"121.565209,31.176723",121.565209,31.176723
32.0,上海市浦东新区卫行村朱家队朱家宅,中国,上海市,21.0,上海市,浦东新区,"121.580461,31.162164",121.580461,31.162164
33.0,上海市浦东新区浦电路149弄,中国,上海市,21.0,上海市,浦东新区,"121.520963,31.218416",121.520963,31.218416
34.0,上海市浦东新区一心村,中国,上海市,21.0,上海市,浦东新区,"121.682249,31.243624",121.682249,31.243624
35.0,上海市浦东新区洪山路1889弄,中国,上海市,21.0,上海市,浦东新区,"121.511499,31.149674",121.511499,31.149674
36.0,上海市浦东新区苗圃路400弄,中国,上海市,21.0,上海市,浦东新区,"121.551027,31.239705",121.551027,31.239705
37.0,上海市浦东新区莲振路269号,中国,上海市,21.0,上海市,浦东新区,"121.567684,31.167969",121.567684,31.167969
38.0,上海市浦东新区上南路3827弄,中国,上海市,21.0,上海市,浦东新区,"121.506996,31.152259",121.506996,31.152259
39.0,上海市浦东新区云山路1415弄,中国,上海市,21.0,上海市,浦东新区,"121.576693,31.243242",121.576693,31.243242
40.0,上海市浦东新区康沈路465弄,中国,上海市,21.0,上海市,浦东新区,"121.572969,31.138156",121.572969,31.138156
41.0,上海市浦东新区杨思路502弄,中国,上海市,21.0,上海市,浦东新区,"121.494705,31.160880",121.494705,31.16088
42.0,上海市浦东新区华夏二路1255弄,中国,上海市,21.0,上海市,浦东新区,"121.692277,31.176512",121.692277,31.176512
43.0,上海市浦东新区关岳路181弄,中国,上海市,21.0,上海市,浦东新区,"121.586714,31.119844",121.586714,31.119844
44.0,上海市浦东新区长岛路1560弄,中国,上海市,21.0,上海市,浦东新区,"121.600996,31.264129",121.600996,31.264129
45.0,上海市浦东新区金桥路530弄,中国,上海市,21.0,上海市,浦东新区,"121.574344,31.261570",121.574344,31.26157
46.0,上海市浦东新区灵岩南路1065号,中国,上海市,21.0,上海市,浦东新区,"121.499901,31.142929",121.499901,31.142929
